ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
9,7.5,0,0,100.0,2.0,70.0,35.0,16.0,51.0,47.0,26.0,7.0,7.0,10.0,14.0,5.0,6.0,75.0,15,50.0,122,8.0,32.0,4.0,31.0,4.0,274,38.0,,18.266666666666666,157.20952380952386,1.6270833333333334,78.1,62,6,26,12
672,5.0,0,0,52.0,2.0,31.0,16.0,12.0,30.0,23.0,6.0,7.0,6.0,5.0,6.0,5.0,,35.0,14,29.0,58,6.0,14.0,5.0,11.0,5.0,143,23.0,2.0,10.214285714285714,53.41208791208791,0.9162037037037036,32.983333333333334,57,6,24,11
393,2.5,0,0,66.0,,31.0,16.0,14.0,28.0,17.0,9.0,5.0,7.0,6.0,6.0,6.0,8.0,47.0,16,26.0,64,7.0,19.0,5.0,11.0,5.0,155,40.0,,9.6875,42.09583333333335,1.1405555555555555,34.21666666666667,65,5,26,11
453,9.0,0,0,64.0,2.0,23.0,12.0,14.0,24.0,17.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,39.0,13,23.0,56,7.0,18.0,4.0,8.0,4.0,139,38.0,,10.692307692307692,30.39743589743589,0.7416666666666667,17.8,68,6,28,11
109,18.0,1,5,67.0,2.0,35.0,19.0,14.0,37.0,22.0,9.0,7.0,6.0,6.0,9.0,6.0,6.0,49.0,14,36.0,71,7.0,18.0,4.0,15.0,4.0,175,27.0,,12.5,49.80769230769231,0.896031746031746,37.63333333333333,67,7,29,11
163,7.0,0,0,82.0,2.0,46.0,29.0,14.0,39.0,25.0,12.0,9.0,10.0,8.0,6.0,9.0,9.0,63.0,13,38.0,88,7.0,26.0,3.0,26.0,3.0,212,29.0,30.0,16.307692307692307,104.39743589743593,1.2564814814814815,45.23333333333333,68,6,29,11
769,8.0,0,0,82.0,1.0,82.0,5.0,10.0,29.0,47.0,21.0,14.0,19.0,10.0,4.0,4.0,5.0,77.0,14,29.0,124,5.0,29.0,,5.0,,209,42.0,5.0,14.928571428571429,206.99450549450552,1.1057017543859649,42.016666666666666,47,6,26,9
728,5.0,0,0,54.0,6.0,58.0,29.0,12.0,36.0,52.0,8.0,6.0,4.0,6.0,6.0,5.0,5.0,40.0,20,35.0,92,6.0,14.0,5.0,24.0,5.0,197,55.0,6.0,9.85,35.186842105263146,1.5303418803418802,59.68333333333333,64,7,29,11
711,2.0,0,0,60.0,3.0,40.0,18.0,12.0,35.0,24.0,12.0,8.0,6.0,7.0,6.0,7.0,3.0,49.0,18,34.0,73,6.0,18.0,4.0,14.0,4.0,171,26.0,,9.5,49.44117647058823,1.3294871794871796,51.85,62,8,27,12
132,2.5,0,0,2.0,,17.0,3.0,,12.0,10.0,4.0,4.0,,,,,,8.0,5,11.0,18,,1.0,1.0,2.0,1.0,34,,,6.8,11.7,2.183333333333333,24.016666666666666,13,4,10,6
